## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/alignment/NA12878.sorted.bam --OUTPUT results/alignment/NA12878.dedup.bam --METRICS_FILE results/metrics/NA12878.dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 01 11:09:49 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	56	30728	73	56	8	3229	527	0.105118	158557

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.015814	24577	0	25005
2.0	1.852666	2652	506	2306
3.0	2.542086	238	9	170
4.0	3.110046	27	1	16
5.0	3.577946	5	0	2
6.0	3.963413	0	0	0
7.0	4.280971	0	0	0
8.0	4.542582	0	0	0
9.0	4.758104	0	0	0
10.0	4.935656	0	0	0
11.0	5.081928	0	0	0
12.0	5.202431	0	0	0
13.0	5.301704	0	0	0
14.0	5.383487	0	0	0
15.0	5.450862	0	0	0
16.0	5.506367	0	0	0
17.0	5.552094	0	0	0
18.0	5.589765	0	0	0
19.0	5.620799	0	0	0
20.0	5.646365	0	0	0
21.0	5.667428	0	0	0
22.0	5.684779	0	0	0
23.0	5.699074	0	0	0
24.0	5.710851	0	0	0
25.0	5.720552	0	0	0
26.0	5.728545	0	0	0
27.0	5.735129	0	0	0
28.0	5.740553	0	0	0
29.0	5.745022	0	0	0
30.0	5.748704	0	0	0
31.0	5.751737	0	0	0
32.0	5.754235	0	0	0
33.0	5.756293	0	0	0
34.0	5.757989	0	0	0
35.0	5.759386	0	0	0
36.0	5.760537	0	0	0
37.0	5.761485	0	0	0
38.0	5.762266	0	0	0
39.0	5.76291	0	0	0
40.0	5.76344	0	0	0
41.0	5.763877	0	0	0
42.0	5.764236	0	0	0
43.0	5.764533	0	0	0
44.0	5.764777	0	0	0
45.0	5.764978	0	0	0
46.0	5.765144	0	0	0
47.0	5.76528	0	0	0
48.0	5.765393	0	0	0
49.0	5.765485	0	0	0
50.0	5.765562	0	0	0
51.0	5.765625	0	0	0
52.0	5.765677	0	0	0
53.0	5.765719	0	0	0
54.0	5.765754	0	0	0
55.0	5.765783	0	0	0
56.0	5.765807	0	0	0
57.0	5.765827	0	0	0
58.0	5.765843	0	0	0
59.0	5.765856	0	0	0
60.0	5.765867	0	0	0
61.0	5.765876	0	0	0
62.0	5.765884	0	0	0
63.0	5.76589	0	0	0
64.0	5.765895	0	0	0
65.0	5.765899	0	0	0
66.0	5.765903	0	0	0
67.0	5.765906	0	0	0
68.0	5.765908	0	0	0
69.0	5.76591	0	0	0
70.0	5.765911	0	0	0
71.0	5.765913	0	0	0
72.0	5.765914	0	0	0
73.0	5.765915	0	0	0
74.0	5.765915	0	0	0
75.0	5.765916	0	0	0
76.0	5.765916	0	0	0
77.0	5.765917	0	0	0
78.0	5.765917	0	0	0
79.0	5.765917	0	0	0
80.0	5.765918	0	0	0
81.0	5.765918	0	0	0
82.0	5.765918	0	0	0
83.0	5.765918	0	0	0
84.0	5.765918	0	0	0
85.0	5.765918	0	0	0
86.0	5.765918	0	0	0
87.0	5.765918	0	0	0
88.0	5.765919	0	0	0
89.0	5.765919	0	0	0
90.0	5.765919	0	0	0
91.0	5.765919	0	0	0
92.0	5.765919	0	0	0
93.0	5.765919	0	0	0
94.0	5.765919	0	0	0
95.0	5.765919	0	0	0
96.0	5.765919	0	0	0
97.0	5.765919	0	0	0
98.0	5.765919	0	0	0
99.0	5.765919	0	0	0
100.0	5.765919	0	0	0

